Ano,Código_IBGE,Magreza_total_%
2008,2309409,6.68
2008,2309458,4.6
2008,2309508,5.510000000000001
2008,2309607,6.33
2008,2309706,3.08
2008,2309805,2.8200000000000003
2008,2309904,7.16
2008,2310001,0.0
2008,2310100,5.449999999999999
2008,2310209,4.42
2008,2310258,3.71
2008,2310308,3.98
2008,2310407,7.779999999999999
2008,2310506,3.94
2008,2310605,6.23
2008,2310704,5.72
2008,2310803,5.19
2008,2310852,3.39
2008,2310902,10.61
2008,2310951,0.0
2008,2311009,4.07
2008,2311108,4.79
2008,2311207,4.7299999999999995
2008,2311231,7.6000000000000005
2008,2311264,12.58
2008,2311306,6.130000000000001
2008,2311355,6.17
2008,2311405,5.01
2008,2311504,5.1899999999999995
2008,1506138,5.13
2008,2311702,3.63
2008,2311801,4.5600000000000005
2008,2311900,5.09
2008,2311959,3.5700000000000003
2008,2312205,6.54
2008,2312007,6.0
2008,2312106,6.3500000000000005
2008,2312304,4.3
2008,2312403,3.87
2008,2312502,5.11
2008,2312601,6.77
2008,2312700,5.71
2008,2312809,6.55
2008,2312908,5.39
2008,2313005,3.62
2008,2313104,4.65
2008,2313203,7.1499999999999995
2008,2313252,3.48
2008,2313302,7.74
2008,2313351,5.5
2008,2313401,4.42
2008,2313500,7.16
2008,2313559,3.3200000000000003
2008,2313609,4.29
2008,2313708,8.299999999999999
2008,2313757,5.720000000000001
2008,2313807,0.0
2008,2313906,6.609999999999999
2008,2313955,7.890000000000001
2008,2314003,6.029999999999999
2008,2314102,3.61
2008,2100055,5.9799999999999995
2008,2100105,5.32
2008,2100154,6.25
2008,2100204,4.71
2008,2100303,6.09
2008,2100402,29.25
2008,2100436,4.38
2008,2100477,3.54
2008,2100501,7.17
2008,2100550,5.6899999999999995
2008,2100600,4.08
2008,2100709,0.31
