UF,Município,Código IBGE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AL,Penedo,2706703,9350524.32,12597267.89,14829372.57,15293524.969999999,19351500.46,19838679.34,21605419.61,25155578.77,26434309.41,28298188.53,24507652.84,29227941.21,31939461.21,30940621.05,42568416.3,62233598.82,38220341.93
AL,Piaçabuçu,2706802,4035984.1199999996,5119808.37,5890872.64,6197537.37,8307870.569999999,8415564.66,8985075.98,9843344.83,11374585.51,12279278.1,11837406.12,13642115.49,13734810.4,12661203.25,16068789.92,21025147.580000002,14023260.85
AL,Pilar,2706901,6103669.56,7778526.74,9409166.55,10006926.98,13322743.31,13912267.19,14957945.149999999,16671601.770000001,19276267.38,20966574.84,18169689.939999998,21358400.32,24117481.88,24813445.2,34301454.01,53954820.79,41889097.03
AL,Pindoba,2707008,852513.74,1165964.94,1343285.47,1440743.76,1813817.51,1768110.31,1932157.0499999998,2289800.7,2398261.7,2785817.01,2090773.93,2109338.67,2243388.9,2082602.33,2581547.75,3341185.88,2263317.0700000003
AL,Piranhas,2707107,4742594.7299999995,5396074.08,6555075.63,8029524.12,10505879.02,11369012.91,12607672.22,14005527.27,15559393.32,18485065.87,17880172.95,19995990.48,21021007.07,19839152.07,25476093.21,32339972.53,19672204.73
AL,Porto Calvo,2707305,5798468.47,7963028.65,9506734.45,10927403.19,14433917.62,15098087.65,15852037.25,17795064.240000002,18892601.5,20208121.61,18123828.68,21284318.44,21599520.91,20622749.15,25466502.51,46441479.03,35414002.23
AL,Porto Real do Colégio,2707503,4002920.81,4985085.07,5314236.64,5566028.34,7438640.53,7906660.37,8448075.71,9921724.57,10293780.49,11254178.16,10154195.83,12073505.35,14187261.44,13426845.290000001,16423745.07,21501350.06,13624456.209999999
AL,Porto de Pedras,2707404,2357744.18,3062771.46,3313474.85,3812654.1700000004,5199714.03,5822093.0600000005,6559337.82,7470080.66,8393091.84,9309361.4,7828048.5,9676345.31,10842053.83,10689245.89,14436135.35,19147984.669999998,12756165.879999999
AL,Poço das Trincheiras,2707206,3744176.9400000004,4794058.15,5584172.58,6441581.8,9108144.06,9156202.92,10204157.9,11557020.67,12489081.379999999,13755366.9,11855722.89,13257354.99,13732735.37,12598389.75,16406654.24,28287149.15,19374146.19
AL,Pão de Açúcar,2706406,4039305.52,5802671.71,7461245.0600000005,9010926.92,11574337.66,12726729.37,13920013.67,16895389.759999998,17604857.97,19563586.32,18080843.41,19193147.71,20445434.53,20691659.86,28791599.61,36902340.33,23288653.39
