Código_UF,Estado,UF,Código_IBGE,Município,Região,Latitude,Longitude
27,Alagoas,AL,2705507,Murici,Nordeste,-9.306823,-35.942798
27,Alagoas,AL,2705606,Novo Lino,Nordeste,-8.941905,-35.664001
27,Alagoas,AL,2705705,Olho d'Água das Flores,Nordeste,-9.531837,-37.293905
27,Alagoas,AL,2705804,Olho d'Água do Casado,Nordeste,-9.502078,-37.832454
27,Alagoas,AL,2705903,Olho d'Água Grande,Nordeste,-10.056075,-36.813525
27,Alagoas,AL,2706000,Olivença,Nordeste,-9.519055,-37.189332
27,Alagoas,AL,2706109,Ouro Branco,Nordeste,-9.16227,-37.358289
27,Alagoas,AL,2706208,Palestina,Nordeste,-9.672794,-37.328509
27,Alagoas,AL,2706307,Palmeira dos Índios,Nordeste,-9.407625,-36.632362
27,Alagoas,AL,2706406,Pão de Açúcar,Nordeste,-9.749655,-37.432989
27,Alagoas,AL,2706422,Pariconha,Nordeste,-9.254015,-38.003924
27,Alagoas,AL,2706448,Paripueira,Nordeste,-9.463133,-35.551977
27,Alagoas,AL,2706505,Passo de Camaragibe,Nordeste,-9.236783,-35.490102
27,Alagoas,AL,2706604,Paulo Jacinto,Nordeste,-9.367918,-36.367241
27,Alagoas,AL,2706703,Penedo,Nordeste,-10.287234,-36.581926
27,Alagoas,AL,2706802,Piaçabuçu,Nordeste,-10.40669,-36.433654
27,Alagoas,AL,2706901,Pilar,Nordeste,-9.601671,-35.951128
27,Alagoas,AL,2707008,Pindoba,Nordeste,-9.473822,-36.291829
27,Alagoas,AL,2707107,Piranhas,Nordeste,-9.611558,-37.761637
27,Alagoas,AL,2707206,Poço das Trincheiras,Nordeste,-9.306321,-37.285519
